TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:6530297551	AT4G29180	AT4G29180.2	protein_coding	root hair specific 16;(source:Araport11)	RHS16; ROOT HAIR SPECIFIC 16	 extracellular region, ATP binding, extracellular region, integral component of membrane, kinase activity, phosphorylation, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root hair cell, trichoblast	false
Gene:6530297860	AT5G24360	AT5G24360.3	protein_coding	IRE1A and IRE1B catalyze bZIP60 mRNA splicing, producing the active bZIP60 transcription factor.	ATIRE1B; INOSITOL REQUIRING 1-1; IRE1-1; IRE1B	 ATP binding, IRE1-TRAF2-ASK1 complex, IRE1-mediated unfolded protein response, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, RNA splicing, RNA splicing, via endonucleolytic cleavage and ligation, autophagy, carpel, cauline leaf, collective leaf structure, cotyledon, defense response to bacterium, incompatible interaction, endoplasmic reticulum, endoplasmic reticulum membrane, endoplasmic reticulum unfolded protein response, endoribonuclease activity, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress, leaf apex, leaf lamina base, mRNA processing, mature plant embryo stage, metal ion binding, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, positive regulation of autophagy in response to ER overload, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, response to salicylic acid, ribonuclease activity, root, seed, sepal, shoot apex, shoot system, stamen, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:6030112335	SCAFFOLD_601080.1	SCAFFOLD_601080.1.1	protein_coding			 membrane, ATP binding, protein histidine kinase activity, obsolete signal transducer activity, transferase activity, transferring phosphorus-containing groups, phosphorelay sensor kinase activity, phosphorylation, signal transduction, peptidyl-histidine phosphorylation, ATP binding, membrane, obsolete signal transducer activity, peptidyl-histidine phosphorylation, phosphorelay sensor kinase activity, phosphorylation, protein histidine kinase activity, signal transduction, transferase activity, transferring phosphorus-containing groups	false
Gene:6030015545	AL_SCAFFOLD_0002_1383	AL_SCAFFOLD_0002_1383.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030059697	FGENESH2_KG.4__439__AT2G25220.1	FGENESH2_KG.4__439__AT2G25220.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030094003	SCAFFOLD_501969.1	SCAFFOLD_501969.1.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6029985135	FGENESH2_KG.1__2617__AT1G24030.2	FGENESH2_KG.1__2617__AT1G24030.2.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030006082	SCAFFOLD_200195.1	SCAFFOLD_200195.1.1	protein_coding			 ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, transferase activity, transferring phosphorus-containing groups	false
Gene:6030049227	SCAFFOLD_303574.1	SCAFFOLD_303574.1.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030019514	FGENESH2_KG.2__1488__AT1G72300.1	FGENESH2_KG.2__1488__AT1G72300.1.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030179476	SCAFFOLD_802342.1	SCAFFOLD_802342.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, signal transduction, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, signal transduction, transferase activity, transferring phosphorus-containing groups	false
Gene:6030181506	FGENESH2_KG.8__1963__AT5G60090.1	FGENESH2_KG.8__1963__AT5G60090.1.1	protein_coding			 ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, transferase activity, transferring phosphorus-containing groups	false
Gene:6030147803	AL_SCAFFOLD_0007_1861	AL_SCAFFOLD_0007_1861.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030192976	AL_SCAFFOLD_0766_1	AL_SCAFFOLD_0766_1.1	protein_coding			 regulation of cyclin-dependent protein serine/threonine kinase activity, protein kinase binding, protein kinase binding, regulation of cyclin-dependent protein serine/threonine kinase activity	false
Gene:6030057296	FGENESH2_KG.4__252__AT2G23200.1	FGENESH2_KG.4__252__AT2G23200.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030114183	AL_SCAFFOLD_0006_1229	AL_SCAFFOLD_0006_1229.1	protein_coding			 ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, transferase activity, transferring phosphorus-containing groups	false
Gene:6029971448	SCAFFOLD_100666.1	SCAFFOLD_100666.1.1	protein_coding			 ATP binding, protein kinase activity, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6029971539	AL_SCAFFOLD_0001_622	AL_SCAFFOLD_0001_622.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030059529	FGENESH2_KG.4__423__AT2G25090.1	FGENESH2_KG.4__423__AT2G25090.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, signal transduction, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, signal transduction, transferase activity, transferring phosphorus-containing groups	false
Gene:6030060649	SCAFFOLD_400782.1	SCAFFOLD_400782.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, metabolic process, protein phosphorylation, transferase activity, transferring glycosyl groups, ATP binding, metabolic process, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring glycosyl groups	false
Gene:6030026631	FGENESH2_KG.3__143__AT3G02130.1	FGENESH2_KG.3__143__AT3G02130.1.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030096852	FGENESH2_KG.5__1670__AT3G53030.1	FGENESH2_KG.5__1670__AT3G53030.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6029975179	FGENESH2_KG.1__1224__AT1G11340.1	FGENESH2_KG.1__1224__AT1G11340.1.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, recognition of pollen, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, recognition of pollen, transferase activity, transferring phosphorus-containing groups	false
Gene:6030123017	SCAFFOLD_602658.1	SCAFFOLD_602658.1.1	protein_coding			 ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, transferase activity, transferring phosphorus-containing groups	false
Gene:6029979070	FGENESH2_KG.1__1778__AT1G16270.1	FGENESH2_KG.1__1778__AT1G16270.1.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030075601	FGENESH2_KG.4__2329__AT2G41860.2	FGENESH2_KG.4__2329__AT2G41860.2.1	protein_coding			 ATP binding, calcium ion binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, calcium ion binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030187727	AL_SCAFFOLD_0109_2	AL_SCAFFOLD_0109_2.1	protein_coding			 ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, transferase activity, transferring phosphorus-containing groups	false
Gene:6030147299	FGENESH2_KG.7__1936__AT4G23650.1	FGENESH2_KG.7__1936__AT4G23650.1.1	protein_coding			 ATP binding, calcium ion binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, calcium ion binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030148636	FGENESH1_PG.C_SCAFFOLD_7001740	FGENESH1_PG.C_SCAFFOLD_7001740.1	protein_coding			 ATP binding, calcium ion binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, calcium ion binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030194950	AL_SCAFFOLD_0009_119	AL_SCAFFOLD_0009_119.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030165308	SCAFFOLD_800331.1	SCAFFOLD_800331.1.1	protein_coding			 ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, transferase activity, transferring phosphorus-containing groups	false
Gene:6030166386	AL_SCAFFOLD_0008_459	AL_SCAFFOLD_0008_459.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030054713	AL_SCAFFOLD_0003_3987	AL_SCAFFOLD_0003_3987.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030052599	FGENESH1_PG.C_SCAFFOLD_3003136	FGENESH1_PG.C_SCAFFOLD_3003136.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6532559474	AT2G30740	AT2G30740.3	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 nucleus, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, defense response, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, non-membrane spanning protein tyrosine kinase activity, nucleus, peroxisome, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, protein kinase binding, protein phosphorylation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:6532546988	AT2G35620	AT2G35620.4	protein_coding	Encodes a plasma membrane localized leucine-rich repeat receptor kinase that is involved in cell wall elongation. Loss of function mutations of FEI1 and FEI2 exhibit defects in root and hypocotyl cell elongation. Double mutants are defective in cell wall biosynthesis and have thick hypocotyls, and short, thick roots.Mucilage is easily detached from fei2 mutants seeds, and forms a capsule that is >50% smaller relative to wild-type.		 extracellular region, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellulose biosynthetic process, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, mucilage biosynthetic process, mucilage biosynthetic process involved in seed coat development, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant-type cell wall organization, plasma membrane, pollen, protein autophosphorylation, protein binding, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, unidimensional cell growth, vascular leaf, vascular leaf senescent stage, whole plant	false
Gene:6532553965	AT2G01830	AT2G01830.5	protein_coding	Histidine kinase: cytokinin-binding receptor that transduces cytokinin signals across the plasma membrane		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT leaf senescence, carbohydrate homeostasis, carpel, cauline leaf, cellular response to phosphate starvation, cellular response to sucrose stimulus, collective leaf structure, cotyledon, cytokinin receptor activity, cytokinin-activated signaling pathway, defense response to bacterium, embryonic root morphogenesis, endoplasmic reticulum, endoplasmic reticulum membrane, enzyme binding, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, nucleoside metabolic process, nucleus, osmosensor activity, osmosensory signaling pathway, petal, petal differentiation and expansion stage, petiole, phosphoprotein phosphatase activity, phosphorelay sensor kinase activity, phosphorelay signal transduction system, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, protein binding, protein histidine kinase activity, protein histidine kinase binding, protein kinase binding, protein phosphorylation, regulation of meristem development, regulation of seed germination, regulation of shoot system development, response to water deprivation, root, root lateral meristem, root procambium, root vascular system, rosette leaf, seed, sepal, shoot apex, shoot axis vascular system, shoot procambium, shoot system, stamen, sulfate transport, transmembrane histidine kinase cytokinin receptor activity, vascular leaf, vascular leaf senescent stage, vascular system	true
Gene:6532558154	AT5G38210	AT5G38210.2	protein_coding	Protein kinase family protein;(source:Araport11)		 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, extracellular region, flowering stage, guard cell, inflorescence meristem, integral component of membrane, leaf apex, petal differentiation and expansion stage, petiole, plasma membrane, protein autophosphorylation, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, sepal, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:6532563056	AT5G28290	AT5G28290.2	protein_coding	Encodes AtNek3, a member of the NIMA-related serine/threonine kinases (Neks) that have been linked to cell-cycle regulation in fungi and mammals.  Plant Neks might be involved in plant development processes.		 plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, cauline leaf, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, hypocotyl, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, phosphorylation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, vascular leaf, vascular leaf senescent stage	true
Gene:6532561647	AT3G07980	AT3G07980.3	protein_coding	MAP3K epsilon protein kinase 2 is functionally redundant with MAP3Ke1. Required  for pollen development but not essential.		 plasma membrane, ATP binding, M germinated pollen stage, activation of protein kinase activity, cell cycle, cell division, cytoplasm, guard cell, microtubule organizing center, nucleolus, plasma membrane, plasma membrane organization, pollen, pollen development, pollen tube cell, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, signal transduction by protein phosphorylation, stress-activated protein kinase signaling cascade, vacuole	false
Gene:6532553708	AT1G61490	AT1G61490.4	protein_coding	S-locus lectin protein kinase family protein;(source:Araport11)		 extracellular region, ATP binding, carbohydrate binding, extracellular region, guard cell, innate immune response, integral component of membrane, plant sperm cell, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity, recognition of pollen	false
Gene:6532547269	AT1G79570	AT1G79570.2	protein_coding	kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein;(source:Araport11)		 nucleus, ATP binding, L mature pollen stage, M germinated pollen stage, cytoplasm, cytosol, guard cell, nucleus, pollen, pollen tube cell, protein kinase activity, protein phosphorylation, protein serine/threonine/tyrosine kinase activity	true
Gene:6532552002	AT3G51630	AT3G51630.UORF1	uORF	Derives_from AT3G51630;(source:Araport11)		 ATP binding, L mature pollen stage, M germinated pollen stage, cytoplasm, guard cell, intracellular signal transduction, photoperiodism, flowering, plasma membrane, pollen, pollen tube cell, protein binding, protein histidine kinase binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity	true
Gene:6532561816	AT3G61160	AT3G61160.5	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 nucleus, ATP binding, L mature pollen stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, mature plant embryo stage, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen sac, pollen tube cell, protein autophosphorylation, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:6532554073	AT4G23250	AT4G23250.2	protein_coding	cysteine-rich receptor-like protein kinase 17;(source:Araport11)		 extracellular region, cytosol, embryo development ending in seed dormancy, extracellular region, guard cell, kinase activity, plasma membrane, protein autophosphorylation, protein kinase activity, rosette leaf	true
Gene:6532551828	AT4G11480	AT4G11480.3	protein_coding	Encodes a cysteine-rich receptor-like protein kinase.		 extracellular region, ATP binding, defense response to bacterium, extracellular region, integral component of membrane, kinase activity, plasma membrane, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity	false
Gene:6030018030	FGENESH2_KG.2__1296__AT1G70460.1	FGENESH2_KG.2__1296__AT1G70460.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030002785	SCAFFOLD_105434.1	SCAFFOLD_105434.1.1	protein_coding			 ATP binding, protein binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030106798	SCAFFOLD_600256.1	SCAFFOLD_600256.1.1	protein_coding			 ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, transferase activity, transferring phosphorus-containing groups	false
Gene:6030074474	SCAFFOLD_402844.1	SCAFFOLD_402844.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030007789	AL_SCAFFOLD_0002_385	AL_SCAFFOLD_0002_385.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, recognition of pollen, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, recognition of pollen, transferase activity, transferring phosphorus-containing groups	false
Gene:6029987270	FGENESH2_KG.1__2922__AT1G27630.1	FGENESH2_KG.1__2922__AT1G27630.1.1	protein_coding			 regulation of cyclin-dependent protein serine/threonine kinase activity, regulation of transcription, DNA-templated, protein kinase binding, protein kinase binding, regulation of cyclin-dependent protein serine/threonine kinase activity, regulation of transcription, DNA-templated	false
Gene:6030045216	FGENESH1_PM.C_SCAFFOLD_3002160	FGENESH1_PM.C_SCAFFOLD_3002160.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030076007	SCAFFOLD_403089.1	SCAFFOLD_403089.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030180029	FGENESH2_KG.8__1766__AT5G58350.1	FGENESH2_KG.8__1766__AT5G58350.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030149336	FGENESH2_KG.7__2192__AT4G21230.1	FGENESH2_KG.7__2192__AT4G21230.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030054482	FGENESH2_KG.3__3552__AT2G18790.1	FGENESH2_KG.3__3552__AT2G18790.1.1	protein_coding			 membrane, ATP binding, G protein-coupled photoreceptor activity, protein binding, protein histidine kinase activity, obsolete signal transducer activity, phosphorelay sensor kinase activity, detection of visible light, red, far-red light phototransduction, protein-tetrapyrrole linkage, signal transduction, regulation of transcription, DNA-templated, peptidyl-histidine phosphorylation, protein-chromophore linkage, photoreceptor activity, protein homodimerization activity, ATP binding, G protein-coupled photoreceptor activity, detection of visible light, membrane, obsolete signal transducer activity, peptidyl-histidine phosphorylation, phosphorelay sensor kinase activity, photoreceptor activity, protein binding, protein histidine kinase activity, protein homodimerization activity, protein-chromophore linkage, protein-tetrapyrrole linkage, red, far-red light phototransduction, regulation of transcription, DNA-templated, signal transduction	false
Gene:6532557493	AT2G40860	AT2G40860.3	protein_coding	protein kinase family protein / protein phosphatase 2C ( PP2C) family protein;(source:Araport11)		 cytoplasm, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.10 ten leaves visible stage, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, flower, guard cell, inflorescence meristem, leaf apex, leaf lamina base, magnesium-dependent protein serine/threonine phosphatase activity, metal ion binding, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plasma membrane, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, protein serine/threonine phosphatase activity, seed, shoot apex, shoot system, vascular leaf	true
Gene:6532550085	AT3G09830	AT3G09830.3	protein_coding	Encodes a member of subfamily VIIa of the receptor-like cytoplasmic kinases (RLCKs).  It contributes to pattern-triggered immunity in response to P. syringae.		 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytosol, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, pattern recognition receptor signaling pathway, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen tube cell, protein binding, protein kinase activity, protein phosphorylation, regulation of salicylic acid biosynthetic process, response to bacterium, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:6532556748	AT1G56120	AT1G56120.3	protein_coding	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)		 plasma membrane, guard cell, kinase activity, phosphorylation, plasma membrane, protein autophosphorylation, protein serine/threonine kinase activity	false
Gene:6532560680	AT4G11460	AT4G11460.2	protein_coding	Encodes a cysteine-rich receptor-like protein kinase.		 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, collective leaf structure, cotyledon, defense response to bacterium, flower, flowering stage, guard cell, hypocotyl, integral component of membrane, kinase activity, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plasma membrane, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, sepal, shoot apex, shoot system, vascular leaf	false
